,valeur_fonciere,adresse_numero,adresse_nom_voie,code_postal,nom_commune,id_parcelle,nombre_lots,code_type_local,type_local,nombre_pieces_principales,code_nature_culture,surface_terrain,longitude,latitude
198,69500.0,0.0,LE CATELINET,71000.0,Mâcon,712700000D1513,0,0.0,0,0.0,P,112.0,4.828991,46.35266
197,69500.0,0.0,LE CATELINET,71000.0,Mâcon,712700000D1512,0,0.0,0,0.0,AB,120.0,4.829280000000001,46.35262
196,69500.0,0.0,LE CATELINET,71000.0,Mâcon,712700000D1508,0,0.0,0,0.0,P,146.0,4.829036,46.35256
195,69500.0,0.0,LE CATELINET,71000.0,Mâcon,712700000D1507,0,0.0,0,0.0,AB,220.0,4.829214,46.352525
194,59900.0,0.0,LE CATELINET,71000.0,Mâcon,712700000D1510,0,0.0,0,0.0,AB,184.0,4.829882,46.352554999999995
193,59900.0,0.0,LE CATELINET,71000.0,Mâcon,712700000D1504,0,0.0,0,0.0,AB,246.0,4.829783,46.352445
192,93585.0,3.0,RUE BERTY ALBRECHT,71000.0,Mâcon,71270000CZ0205,2,2.0,Appartement,5.0,0,0.0,4.836687,46.3209
190,170000.0,31.0,RUE DU GRAND FOUR,71000.0,Mâcon,71270000CX0384,0,1.0,Maison,3.0,S,891.0,4.822725,46.324526
189,170000.0,31.0,RUE DU GRAND FOUR,71000.0,Mâcon,71270000CX0383,0,0.0,0,0.0,S,27.0,4.822516,46.324349
1006,78000.0,21.0,RUE GAMBETTA,71000.0,Mâcon,71270000BM0073,3,2.0,Appartement,3.0,0,0.0,4.829619999999999,46.302443
1087,35000.0,35.0,AV EDOUARD HERRIOT,71000.0,Mâcon,71270000BL0212,2,2.0,Appartement,1.0,0,0.0,4.828632,46.299476
